TYPES,C,H,N,S,O,Ash,Moisture,Volatile matter,Fixed carbon,Temperature (°C),S/B,Gasifier type,H2,CO,CO2,CH4,Tar (g/Nm3),Gas (Nm3/kg),Char (g/kg)
Type-A,31.042,4.706,0.249,0.0,47.905,15.381,10.667,65.088,18.432,684.541,0.705,fluid,53.999,18.028,18.514,9.257,66.542,0.623,152.279
Type-V,49.329,6.333,0.811,0.49,33.649,7.306,9.239,73.018,15.921,805.878,3.284,fix,53.384,16.057,25.102,5.522,1.718,1.368,103.13
Type-V,50.131,6.159,0.775,0.446,31.717,7.247,9.316,86.525,15.075,751.783,3.063,fix,51.837,15.412,27.113,5.116,2.796,1.453,92.534
Type-H,46.874,5.211,1.005,0.262,42.129,4.347,9.377,81.712,15.384,638.956,2.488,fluid,81.046,12.499,3.958,1.343,13.383,1.171,26.209
Type-R,47.72,6.639,0.162,0.197,43.753,0.345,5.469,71.764,16.836,836.928,0.453,fluid,40.195,34.039,15.532,10.405,2.444,0.876,210.75
Type-H,46.663,5.27,1.025,0.237,42.353,3.971,10.197,79.9,14.603,683.658,2.418,fluid,84.958,4.264,1.142,9.916,12.24,1.197,25.115
Type-U,52.221,5.779,0.197,0.093,42.726,0.451,7.689,75.85,15.183,745.724,1.046,fluid,26.271,42.153,16.842,14.736,12.798,0.541,99.428
Type-I,50.311,7.085,1.292,0.228,34.667,7.759,9.824,64.184,16.988,911.388,1.329,fix,50.089,18.902,26.273,4.833,12.734,2.362,26.252
Type-N,51.131,4.916,0.24,0.333,37.851,5.204,0.0,81.58,15.462,715.805,1.231,fix,36.465,12.022,40.657,10.948,94.03,0.909,174.628
Type-U,51.171,6.418,0.187,0.1,40.792,0.419,7.811,81.138,16.765,750.915,1.378,fluid,26.325,42.095,16.842,14.737,12.746,0.52,99.971
Type-N,43.719,5.704,0.255,0.323,36.0,5.719,0.0,86.595,14.36,827.039,1.053,fix,52.213,16.2,29.145,2.209,3.075,1.258,106.247
Type-W,59.646,5.324,0.446,0.12,34.797,1.751,0.0,72.081,25.078,750.519,1.019,fluid,53.311,17.651,22.8,6.011,13.201,1.067,97.346
Type-O,45.226,6.249,0.039,0.0,46.029,0.522,8.965,82.04,17.42,814.119,1.246,fix,30.267,43.93,13.44,12.365,358.997,0.686,8.726
Type-F,41.254,6.753,0.992,0.124,47.329,1.587,12.124,77.311,14.257,819.204,1.17,fluid,59.684,14.928,17.415,7.961,6.113,1.254,102.306
Type-N,50.952,5.227,0.248,0.325,39.905,5.751,0.0,81.58,13.636,783.805,1.013,fix,47.851,15.216,33.811,2.976,31.417,1.381,160.801
Type-R,45.959,6.947,0.168,0.194,39.278,0.302,5.471,78.143,16.425,802.71,0.162,fluid,39.626,31.635,18.815,9.937,2.945,0.687,250.202
Type-F,46.958,5.778,1.001,0.113,45.675,1.608,11.959,75.278,14.65,803.154,1.983,fluid,59.63,14.56,17.554,8.025,6.907,1.149,104.472
Type-V,47.963,7.34,0.784,0.493,31.73,8.081,9.453,74.222,16.023,770.787,1.377,fix,48.358,24.354,19.846,7.633,0.81,1.298,106.704
Type-E,40.85,5.825,0.182,0.0,56.38,1.333,8.131,83.79,13.633,647.403,1.084,fluid,51.999,28.373,11.345,8.251,69.481,0.728,198.996
Type-V,52.831,6.95,0.805,0.544,35.263,6.95,9.719,80.325,15.161,817.625,0.816,fix,49.817,22.858,15.781,11.708,7.884,1.337,102.325
Type-N,53.8,5.309,0.239,0.347,38.847,6.412,0.0,76.756,15.713,706.504,1.115,fix,36.32,12.054,40.703,10.961,99.563,0.863,174.969
Type-P,49.748,5.647,0.389,0.097,44.853,0.273,0.0,77.666,16.199,824.836,1.098,fluid,58.24,14.052,22.58,5.854,13.257,1.038,105.311
Type-O,50.254,6.076,0.041,0.0,43.357,0.585,9.398,84.09,18.079,909.573,1.165,fix,39.918,33.959,17.268,8.896,142.415,0.883,4.312
Type-P,56.51,6.261,0.383,0.104,40.355,0.251,0.0,82.89,17.017,733.555,0.978,fluid,56.213,14.39,22.964,5.954,13.215,1.062,104.933
Type-R,49.83,6.084,0.162,0.197,46.642,0.346,5.003,71.43,15.871,759.65,0.448,fluid,44.447,26.828,18.647,9.781,2.161,0.896,236.171
Type-E,36.981,6.858,0.183,0.0,48.752,1.307,8.438,88.847,13.354,777.924,0.962,fluid,52.778,22.576,17.441,7.182,20.818,1.282,59.566
Type-F,46.58,6.484,0.959,0.112,44.897,1.418,11.632,82.071,14.474,804.015,1.543,fluid,59.649,14.557,17.552,8.024,5.949,1.155,97.651
Type-C,37.844,5.712,0.922,0.096,42.086,12.054,0.0,77.421,9.957,703.941,1.101,fix,45.842,29.47,17.684,7.038,13.122,0.644,98.373
Type-V,49.526,6.46,0.759,0.503,34.212,7.292,9.273,74.96,15.146,808.309,1.436,fix,51.676,19.152,21.691,7.567,0.751,1.418,103.341
Type-O,52.441,6.162,0.041,0.0,40.799,0.586,9.705,78.256,17.009,893.493,0.964,fix,30.622,39.276,17.979,12.162,261.999,0.703,6.264
Type-P,50.045,5.523,0.418,0.095,45.963,0.257,0.0,87.225,15.872,775.714,0.372,fluid,28.161,41.437,13.689,16.715,12.31,1.02,98.059
Type-M,51.449,7.123,0.235,0.0,48.257,0.493,10.245,76.247,16.691,808.066,0.367,fluid,44.078,23.514,23.053,9.201,12.168,1.086,114.747
Type-R,47.408,6.23,0.169,0.214,43.236,0.336,5.017,82.108,15.26,795.23,0.846,fluid,42.37,30.994,19.156,7.452,1.315,1.019,205.154
Type-F,43.079,6.944,1.054,0.11,49.24,1.64,12.109,68.72,14.252,740.731,1.346,fluid,63.27,13.099,14.089,9.057,13.389,0.851,98.479
Type-V,52.497,6.916,0.797,0.466,32.094,7.117,9.368,84.986,15.422,715.964,1.543,fix,34.078,30.629,19.469,15.883,1.959,1.008,100.804
Type-C,34.128,5.934,1.022,0.088,48.354,13.692,0.0,81.204,11.018,901.436,1.157,fix,44.956,17.416,28.718,8.919,13.436,1.009,101.781
Type-O,50.239,6.105,0.039,0.0,45.535,0.554,9.045,79.768,17.631,876.411,1.543,fix,39.478,34.21,17.301,8.913,142.097,0.968,4.868
Type-L,50.445,6.4,0.186,0.029,45.246,1.095,6.659,68.811,17.433,848.899,0.823,fluid,54.68,19.188,22.152,4.47,1.062,1.635,95.523
Type-A,33.875,4.915,0.237,0.0,46.113,14.82,9.619,76.16,17.805,647.6,0.776,fluid,42.958,25.407,22.286,9.329,88.946,0.592,205.814
Type-Q,49.363,6.32,0.165,0.225,42.279,0.377,4.763,74.91,18.645,743.807,1.172,fluid,51.958,18.762,16.879,12.907,17.978,1.289,111.136
Type-W,56.353,5.564,0.415,0.112,37.787,2.098,0.0,78.485,22.495,725.888,0.389,fluid,41.004,30.594,17.143,10.992,11.958,1.085,96.586
Type-A,35.194,4.282,0.246,0.0,42.716,15.476,10.498,72.362,16.892,717.935,0.769,fluid,54.777,17.857,18.402,9.201,64.495,0.587,158.517
Type-M,50.898,6.554,0.239,0.0,43.42,0.542,11.978,79.908,16.629,840.781,0.59,fluid,44.603,23.329,22.974,9.17,12.85,1.043,105.981
Type-V,49.256,6.88,0.857,0.508,34.575,7.411,9.802,77.695,15.958,810.753,1.314,fix,58.183,16.652,22.147,2.517,0.181,1.886,118.025
Type-E,39.589,6.649,0.22,0.0,50.7,1.343,8.586,86.833,14.016,671.789,0.839,fluid,52.585,28.16,11.303,8.22,76.488,0.732,221.959
Type-F,45.388,6.349,1.116,0.106,44.998,1.54,11.624,77.724,16.423,734.998,1.038,fluid,63.127,13.118,14.106,9.068,12.496,0.933,92.609
Type-V,47.235,6.824,0.774,0.527,30.433,7.462,9.723,77.977,13.748,690.162,0.97,fix,33.703,30.856,19.498,15.906,1.691,1.042,101.208
Type-Q,49.41,6.71,0.158,0.192,44.008,0.366,4.281,77.578,16.0,918.183,0.605,fluid,54.79,20.574,17.328,7.493,16.167,1.348,103.632
Type-I,42.77,6.934,1.137,0.226,36.463,9.415,9.907,68.51,16.202,891.168,1.353,fix,49.753,18.987,26.339,4.845,12.804,2.502,23.191
Type-U,55.204,5.426,0.197,0.098,45.022,0.461,7.483,89.838,16.463,707.158,0.644,fluid,23.632,42.322,19.375,14.662,12.712,0.513,107.688
Type-G,43.425,5.16,9.051,0.0,39.495,1.143,8.168,69.878,16.535,813.689,0.589,fluid,43.499,33.251,11.706,11.506,42.089,1.705,100.593
Type-V,48.682,6.845,0.845,0.504,33.228,7.009,9.798,70.425,14.434,761.827,2.608,fix,52.504,16.234,25.28,5.562,1.943,1.34,105.119
Type-H,52.639,5.745,0.982,0.262,45.116,4.496,9.019,84.759,15.582,684.005,2.047,fluid,62.757,14.331,11.492,11.582,13.727,0.617,61.486
Type-V,55.78,6.855,0.782,0.525,37.161,7.207,9.599,80.147,14.128,670.512,1.316,fix,33.418,31.028,19.52,15.924,1.812,1.004,106.675
Type-N,48.474,5.533,0.239,0.337,43.259,5.622,0.0,76.183,13.703,697.495,1.053,fix,36.18,12.085,40.747,10.972,88.138,0.952,183.82
Type-O,50.218,6.98,0.042,0.0,44.088,0.579,8.962,77.926,18.359,867.759,1.008,fix,39.363,34.275,17.309,8.917,142.623,0.898,4.431
Type-V,54.173,6.57,0.88,0.511,33.793,7.074,9.308,76.499,15.128,696.089,1.162,fix,46.925,24.842,20.035,7.706,0.801,1.249,96.891
Type-D,41.442,5.351,0.193,0.0,50.277,2.376,10.626,79.222,13.268,691.926,0.745,fluid,40.99,28.725,21.079,9.486,109.259,0.581,195.89
Type-A,35.189,4.377,0.258,0.0,45.652,14.694,10.064,65.715,17.656,671.819,0.878,fluid,43.438,25.218,22.221,9.302,85.575,0.517,220.031
Type-M,46.118,6.533,0.224,0.0,43.419,0.475,11.07,76.012,16.0,802.806,0.687,fluid,47.459,21.248,22.886,8.177,12.714,1.15,106.022
Type-N,51.89,5.534,0.239,0.349,40.207,5.36,0.0,81.428,14.067,748.781,1.312,fix,41.97,13.763,38.147,6.112,65.516,0.974,171.895
Type-U,48.674,5.622,0.197,0.105,39.944,0.422,8.381,82.869,15.785,705.941,0.9,fluid,23.62,42.336,19.374,14.661,12.611,0.496,101.23
Type-F,45.208,6.361,1.051,0.106,41.714,1.589,11.672,73.997,14.258,812.739,1.008,fluid,65.066,12.856,13.872,8.918,12.779,0.861,101.406
Type-P,46.051,5.855,0.393,0.093,44.702,0.289,0.0,78.502,17.365,810.864,0.389,fluid,28.545,41.058,13.688,16.714,12.315,1.019,101.736
Type-H,45.555,5.533,0.95,0.255,37.958,4.568,9.48,80.104,16.366,674.382,2.618,fluid,62.49,14.372,11.518,11.609,13.309,0.609,61.058
Type-O,50.693,6.087,0.043,0.0,42.025,0.574,9.422,83.834,18.028,806.495,1.184,fix,30.181,44.014,13.441,12.365,383.505,0.741,8.598
Type-F,47.924,6.197,1.063,0.112,41.2,1.497,11.679,73.219,14.856,899.384,0.822,fluid,52.409,25.238,14.104,8.06,12.955,1.612,104.818
Type-F,45.061,6.458,1.006,0.11,45.746,1.557,11.788,72.394,15.209,812.93,1.191,fluid,59.547,14.951,17.435,7.97,7.739,1.159,105.023
Type-O,49.833,5.981,0.038,0.0,46.255,0.577,9.591,85.762,18.108,826.207,0.927,fix,34.627,39.905,14.825,10.59,248.949,0.835,5.825
Type-M,51.615,6.446,0.254,0.0,46.474,0.448,10.342,78.493,14.514,835.481,0.43,fluid,44.518,23.359,22.987,9.175,12.031,1.2,108.422
Type-O,48.134,5.759,0.04,0.0,45.509,0.547,8.935,81.679,16.556,923.706,1.424,fix,40.105,33.852,17.254,8.889,139.696,1.001,4.704
Type-N,47.668,5.347,0.263,0.352,42.168,5.361,0.0,78.529,15.009,806.006,0.406,fix,40.05,43.664,13.472,2.475,6.85,0.98,133.857
Type-V,50.928,6.377,0.914,0.504,34.616,7.306,9.427,76.637,13.207,804.972,2.458,fix,54.416,17.237,24.346,4.058,0.805,1.525,88.479
Type-M,48.536,6.715,0.242,0.0,47.606,0.483,10.369,69.686,15.776,872.979,1.081,fluid,49.126,19.726,23.514,8.007,11.916,1.163,90.195
Type-B,36.296,5.059,0.311,0.0,41.657,14.923,7.599,68.203,18.489,606.947,0.83,fluid,37.776,35.886,17.239,8.881,102.608,0.577,180.787
Type-O,52.259,5.793,0.037,0.0,44.463,0.574,9.215,90.674,20.409,839.081,1.22,fix,34.786,39.784,14.82,10.585,244.112,0.858,6.731
Type-F,48.84,6.277,0.999,0.104,48.915,1.522,12.603,73.501,15.633,717.754,1.213,fluid,71.433,9.006,7.505,12.007,13.212,0.761,98.641
Type-Q,48.585,6.632,0.164,0.216,40.781,0.376,4.867,87.416,19.535,883.674,0.816,fluid,54.585,20.539,17.248,7.459,11.407,1.633,90.367
Type-K,49.127,5.223,0.554,0.011,40.794,6.567,0.0,69.373,23.289,807.754,1.093,fix,51.525,22.364,19.649,6.046,12.398,0.839,209.003
Type-W,51.12,5.161,0.43,0.106,37.127,1.94,0.0,73.609,22.322,819.953,1.138,fluid,54.764,17.334,22.543,5.943,12.415,1.08,107.383
Type-D,42.141,5.42,0.181,0.0,52.77,2.466,10.872,81.398,13.461,702.39,0.875,fluid,47.966,20.819,21.867,9.372,69.944,0.713,217.583
Type-Q,52.221,6.501,0.163,0.195,42.255,0.344,4.82,84.036,18.458,915.779,0.885,fluid,55.172,20.393,17.172,7.426,12.241,1.533,115.053
Type-F,46.434,6.064,1.088,0.101,43.531,1.691,11.631,70.798,14.932,812.508,1.063,fluid,59.538,14.953,17.437,7.971,7.663,1.131,96.789
Type-N,49.489,5.787,0.242,0.333,34.332,5.614,0.0,82.216,14.666,920.251,1.297,fix,55.204,22.874,20.788,1.341,0.0,1.695,98.49
Type-O,44.952,6.274,0.043,0.0,43.372,0.569,9.461,79.47,19.205,938.589,1.177,fix,40.302,33.74,17.24,8.881,136.32,0.962,4.558
Type-F,43.294,6.138,0.984,0.111,42.949,1.593,12.393,77.805,13.464,825.527,1.81,fluid,59.822,14.905,17.395,7.952,7.033,1.35,106.65
Type-O,52.093,5.906,0.037,0.0,45.315,0.575,9.676,87.36,19.876,859.321,1.371,fix,30.258,39.596,17.987,12.168,258.984,0.727,6.241
Type-F,47.659,5.99,1.029,0.115,42.56,1.568,12.48,79.786,14.477,902.109,1.372,fluid,52.456,25.223,14.1,8.057,13.681,1.577,103.635
Type-H,45.664,5.722,0.991,0.268,44.384,4.243,9.334,84.447,15.044,638.862,2.109,fluid,80.802,6.515,0.0,11.578,12.581,1.273,27.04
Type-N,49.363,5.203,0.248,0.342,41.282,5.703,0.0,77.617,15.159,751.638,1.304,fix,42.018,13.752,38.132,6.11,64.362,1.023,170.742
Type-R,52.257,7.071,0.163,0.198,46.467,0.343,5.018,82.885,17.343,774.067,0.36,fluid,39.26,34.579,15.594,10.446,2.68,0.895,225.02
Type-A,32.031,4.595,0.267,0.0,47.54,15.389,9.247,67.272,16.926,794.193,0.933,fluid,56.478,18.626,19.226,6.235,45.399,0.758,137.715
Type-S,48.36,6.44,0.097,0.0,44.367,0.466,0.0,74.479,13.842,500.0,1.25,fix,7.614,38.979,40.951,12.665,12.857,0.158,108.863
Type-W,56.531,5.608,0.427,0.129,37.922,1.947,0.0,74.861,24.656,750.107,0.795,fluid,46.232,24.08,20.929,8.592,13.104,0.996,99.671
Type-N,52.962,5.673,0.245,0.348,44.437,5.853,0.0,82.224,14.03,915.998,0.863,fix,54.418,23.569,20.83,1.342,0.0,1.431,102.539
Type-Q,49.643,6.401,0.16,0.196,41.421,0.351,5.259,83.32,16.306,885.361,0.437,fluid,54.194,20.724,17.405,7.527,15.662,1.395,104.742
Type-B,39.579,5.237,0.322,0.0,42.446,15.421,6.925,71.288,17.014,802.198,0.687,fluid,53.0,22.321,18.817,6.103,22.09,1.175,58.96
Type-R,50.377,6.664,0.167,0.199,38.773,0.336,4.766,78.019,18.155,838.564,0.944,fluid,43.06,30.658,19.088,7.426,1.269,0.931,188.085
Type-I,45.898,7.089,1.202,0.223,35.238,8.906,9.835,66.427,16.498,922.425,1.535,fix,50.273,18.856,26.237,4.827,12.849,2.537,26.709
Type-R,49.075,6.863,0.155,0.202,41.754,0.346,4.97,75.019,17.876,818.821,1.14,fluid,42.745,30.811,19.119,7.438,1.407,0.967,197.492
Type-C,39.696,5.378,0.923,0.093,43.737,12.161,0.0,82.21,10.293,937.141,0.92,fix,45.491,17.278,28.605,8.884,12.744,0.995,96.754
Type-E,39.404,6.607,0.207,0.0,50.496,1.419,8.386,90.184,14.224,668.381,0.689,fluid,52.504,28.19,11.308,8.224,72.694,0.765,208.501
Type-A,36.844,4.191,0.253,0.0,45.491,15.009,9.647,66.935,16.016,650.507,0.793,fluid,43.015,25.385,22.278,9.326,87.192,0.571,213.76
Type-H,51.062,5.29,0.987,0.271,38.476,4.741,10.177,73.995,14.942,723.517,2.135,fluid,83.892,6.353,0.0,11.244,12.342,1.166,27.809
Type-N,45.834,5.214,0.246,0.371,38.144,5.857,0.0,78.043,14.802,826.26,0.935,fix,48.617,15.055,33.607,2.958,31.152,1.291,157.865
Type-N,50.531,5.643,0.242,0.305,40.162,5.66,0.0,82.121,14.296,935.215,0.245,fix,39.504,47.718,12.233,0.616,14.55,0.858,134.696
Type-I,46.887,6.401,1.236,0.211,35.53,8.695,10.759,61.985,17.417,918.349,2.988,fix,48.324,16.483,32.925,2.415,11.939,1.359,106.459
Type-N,50.418,5.501,0.225,0.349,40.346,5.142,0.0,85.994,14.791,927.524,1.058,fix,55.337,22.837,20.768,1.34,0.0,1.858,82.278
Type-A,34.09,4.962,0.264,0.0,45.564,14.769,9.514,67.313,17.937,689.739,0.905,fluid,54.12,18.001,18.496,9.248,67.242,0.534,174.68
Type-A,33.594,4.491,0.249,0.0,48.056,14.116,10.005,69.916,18.25,777.432,0.857,fluid,56.106,18.71,19.281,6.253,46.293,0.734,153.374
Type-I,40.725,6.343,1.218,0.214,34.721,9.953,9.642,57.46,16.714,901.68,2.611,fix,48.057,16.544,32.993,2.419,12.763,1.313,105.695
Type-Q,47.665,7.238,0.171,0.216,42.891,0.365,4.847,78.345,17.849,863.444,0.921,fluid,54.215,20.631,17.296,7.479,12.908,1.759,99.605
Type-O,52.261,6.213,0.036,0.0,47.212,0.554,9.376,82.16,18.112,868.682,0.117,fix,29.531,52.72,7.326,10.466,155.748,0.767,11.382
Type-F,47.608,6.99,1.037,0.108,46.358,1.652,11.985,77.618,15.29,781.674,1.104,fluid,64.291,12.961,13.965,8.977,12.144,0.931,95.529
Type-I,47.563,6.488,1.21,0.22,32.171,9.164,9.669,67.367,16.169,788.339,1.38,fix,42.882,25.354,23.387,8.3,12.829,2.293,48.24
Type-A,35.116,4.666,0.246,0.0,46.999,16.477,9.588,65.166,15.507,752.323,0.679,fluid,51.466,22.38,18.761,7.099,35.663,0.855,143.659
Type-M,48.688,6.412,0.227,0.0,45.391,0.485,10.821,78.35,15.942,827.83,0.748,fluid,47.892,21.121,22.816,8.152,12.715,1.165,101.26
Type-E,43.985,6.088,0.202,0.0,48.927,1.301,8.59,87.099,14.143,691.723,0.705,fluid,53.064,27.987,11.268,8.195,67.096,0.697,213.265
Type-I,51.043,6.294,1.13,0.22,33.666,9.413,9.5,68.921,16.497,897.878,0.692,fix,44.548,30.895,19.123,5.421,12.757,1.576,59.086
Type-V,52.21,6.818,0.743,0.492,33.176,7.15,9.374,79.216,16.848,836.991,1.163,fix,58.97,15.165,21.794,4.561,0.213,1.692,109.063
Type-M,54.459,5.886,0.252,0.0,41.087,0.504,11.173,72.447,15.275,785.034,0.648,fluid,43.708,23.643,23.108,9.223,12.929,1.13,105.766
Type-H,46.155,5.768,0.977,0.265,41.221,4.055,10.059,82.956,16.361,679.508,1.713,fluid,62.632,14.351,11.504,11.595,12.055,0.656,58.85
Type-Q,47.447,6.215,0.162,0.2,40.223,0.344,5.018,77.339,18.148,793.071,0.994,fluid,51.123,22.149,18.611,8.048,14.677,1.57,96.508
Type-J,51.353,7.299,0.202,0.085,37.09,8.458,0.0,83.708,5.336,697.654,0.984,fix,19.241,22.688,26.677,31.392,13.098,0.438,105.266
Type-S,48.107,6.323,0.098,0.0,47.423,0.526,0.0,91.037,13.76,729.006,0.906,fix,36.863,30.743,21.877,10.649,12.066,0.488,96.733
Type-V,51.376,7.175,0.801,0.462,30.781,7.11,9.184,77.751,15.052,833.363,0.658,fix,50.109,22.768,15.749,11.685,8.518,1.262,93.374
Type-D,38.563,5.572,0.202,0.0,52.481,2.412,10.433,89.964,13.669,800.413,0.726,fluid,53.235,22.446,17.384,7.158,33.492,1.073,174.306
Type-H,46.822,5.638,1.027,0.259,42.306,4.262,9.07,77.899,14.909,683.157,2.273,fluid,84.939,4.264,1.143,9.918,12.623,1.348,21.391
Type-O,52.131,6.306,0.039,0.0,43.84,0.546,9.034,79.224,18.181,906.399,0.1,fix,29.907,52.282,7.331,10.472,166.419,0.827,11.2
Type-F,39.786,6.689,0.948,0.118,46.259,1.639,11.407,70.728,13.468,829.248,1.564,fluid,59.903,14.892,17.384,7.947,7.066,1.333,105.976
Type-B,35.813,5.155,0.341,0.0,42.69,14.55,7.696,66.514,15.893,707.286,0.814,fluid,46.46,28.887,16.828,7.888,57.987,0.766,122.666
Type-B,40.785,5.276,0.339,0.0,38.837,14.692,7.719,66.511,20.002,815.766,0.925,fluid,53.274,22.243,18.78,6.091,19.793,1.03,64.556
Type-O,44.688,5.324,0.039,0.0,43.881,0.586,9.808,81.941,17.61,865.162,1.185,fix,30.32,39.541,17.986,12.167,250.366,0.729,6.623
Type-F,44.119,6.064,0.985,0.103,45.694,1.623,11.848,82.296,16.081,804.422,1.337,fluid,64.858,12.884,13.897,8.934,12.895,0.942,97.79
Type-R,51.044,6.718,0.154,0.195,41.3,0.344,5.159,76.053,16.337,824.856,0.51,fluid,45.551,26.395,18.523,9.715,2.104,0.835,209.96
Type-S,53.144,6.891,0.09,0.0,41.281,0.512,0.0,89.39,12.559,516.554,0.829,fix,7.888,38.08,41.207,12.744,12.506,0.146,102.965
Type-C,39.371,5.804,1.0,0.086,41.304,13.841,0.0,77.114,9.635,679.399,1.233,fix,45.361,29.677,17.733,7.057,12.838,0.599,105.083
Type-V,53.2,7.156,0.813,0.519,35.685,7.207,9.221,70.913,15.296,776.553,3.412,fix,52.798,16.175,25.22,5.548,1.853,1.498,104.982
Type-D,44.28,5.446,0.186,0.0,49.229,2.344,11.122,80.819,13.151,636.468,0.627,fluid,39.96,29.222,21.192,9.536,105.065,0.62,204.538
Type-Q,47.541,6.467,0.169,0.185,41.364,0.347,4.618,81.044,18.495,906.547,0.593,fluid,54.579,20.627,17.355,7.505,15.117,1.414,108.503
Type-I,49.37,5.86,1.145,0.22,35.217,9.225,9.899,65.776,17.6,838.115,1.509,fix,43.686,25.039,23.273,8.259,13.125,2.364,51.546
Type-O,49.94,5.717,0.044,0.0,41.422,0.558,10.136,83.447,18.592,883.579,1.023,fix,39.573,34.156,17.294,8.909,135.124,0.894,4.673
Type-O,51.617,5.866,0.039,0.0,45.903,0.59,9.193,79.542,18.708,937.654,1.127,fix,40.29,33.747,17.24,8.881,135.653,1.035,4.297
Type-E,39.056,5.93,0.205,0.0,48.955,1.303,8.73,93.205,13.944,649.222,0.84,fluid,52.043,28.357,11.342,8.248,83.398,0.631,200.134
Type-W,55.028,5.628,0.434,0.12,36.455,2.012,0.0,79.488,23.558,761.648,0.573,fluid,46.442,24.008,20.9,8.58,12.161,1.029,102.414
Type-I,46.738,6.127,1.122,0.226,36.447,9.053,9.865,62.72,16.15,699.226,1.456,fix,30.34,36.258,21.79,11.61,12.836,1.348,82.364
Type-B,34.694,5.065,0.352,0.0,41.234,14.206,8.68,66.252,16.859,795.649,0.828,fluid,52.867,22.359,18.835,6.109,20.171,1.125,57.664
Type-I,50.155,6.2,1.163,0.226,37.238,8.569,9.598,65.099,16.784,902.334,1.447,fix,49.939,18.94,26.302,4.839,11.127,2.593,27.48
Type-N,53.135,5.364,0.265,0.342,38.075,6.374,0.0,85.132,14.629,902.917,1.201,fix,54.887,22.962,20.835,1.345,0.0,1.817,85.131
Type-F,48.681,6.056,1.018,0.109,43.928,1.579,11.83,78.218,15.613,793.83,1.45,fluid,59.13,15.021,17.496,7.998,6.274,1.294,102.128
Type-A,36.323,4.385,0.234,0.0,46.173,14.874,10.272,66.445,17.776,705.085,0.767,fluid,54.477,17.923,18.444,9.222,73.019,0.563,173.991
Type-H,45.731,5.646,0.961,0.274,42.897,4.321,10.137,86.44,15.003,656.205,1.521,fluid,61.985,14.45,11.567,11.658,12.846,0.65,58.551
Type-V,54.706,6.875,0.863,0.495,29.805,7.273,9.935,81.104,14.851,822.412,0.724,fix,35.099,24.173,25.926,14.894,38.838,0.759,98.205
Type-R,47.497,6.915,0.165,0.217,43.383,0.319,4.871,70.512,17.372,823.452,0.439,fluid,39.995,34.155,15.546,10.414,2.772,0.748,248.736
Type-B,38.433,5.536,0.34,0.0,38.793,15.047,7.859,64.105,18.422,739.474,0.62,fluid,51.093,24.151,18.352,6.292,31.57,0.991,84.929
Type-V,50.933,6.581,0.781,0.506,35.717,7.116,9.472,85.021,16.284,765.396,1.37,fix,48.255,24.389,19.859,7.638,0.803,1.346,99.312
Type-N,47.936,5.976,0.262,0.327,40.576,5.673,0.0,81.464,14.559,882.478,0.236,fix,38.818,48.281,12.248,0.617,15.754,0.793,144.949
Type-O,47.72,5.873,0.038,0.0,41.949,0.521,8.53,82.748,20.262,913.51,3.007,fix,42.678,30.995,18.635,7.764,156.566,0.967,3.551
Type-B,37.409,5.268,0.334,0.0,43.075,14.575,7.069,69.196,17.587,810.834,0.793,fluid,53.174,22.271,18.794,6.095,19.023,1.082,67.213
Type-S,49.441,6.382,0.104,0.0,41.238,0.495,0.0,83.344,11.859,855.601,1.338,fix,42.137,34.214,16.058,7.362,12.732,1.304,102.806
Type-D,43.159,5.288,0.21,0.0,52.611,2.356,11.141,83.43,13.054,715.684,0.807,fluid,48.239,20.74,21.825,9.354,70.059,0.716,183.002
Type-H,48.107,5.221,1.014,0.248,37.52,4.425,9.921,85.147,13.209,664.894,1.917,fluid,84.252,4.287,1.15,9.984,12.277,1.284,25.695
Type-W,48.417,5.293,0.433,0.121,36.939,1.974,0.0,69.618,22.695,766.02,0.441,fluid,41.656,30.279,17.085,10.955,13.11,0.968,105.156
Type-R,52.882,6.523,0.158,0.184,38.057,0.334,5.029,78.397,17.636,824.938,1.059,fluid,43.291,30.588,17.992,8.283,1.787,0.931,188.251
Type-A,32.477,4.502,0.251,0.0,42.765,15.914,11.14,66.447,16.872,760.231,0.905,fluid,51.625,22.335,18.74,7.091,35.479,0.836,139.32
Type-J,49.669,7.562,0.187,0.087,38.262,8.515,0.0,80.715,5.546,866.94,1.38,fix,21.324,23.879,26.092,28.677,12.74,0.877,96.803
Type-F,48.29,6.385,0.998,0.116,45.634,1.501,12.577,76.514,14.772,818.417,1.68,fluid,59.965,14.506,17.505,8.002,6.608,1.051,99.698
Type-B,37.036,4.666,0.344,0.0,38.924,15.776,7.337,68.554,17.516,628.005,0.822,fluid,38.15,35.656,17.214,8.868,98.01,0.556,162.798
Type-V,52.836,6.366,0.733,0.496,34.765,6.95,8.665,75.235,15.61,798.269,0.834,fix,49.458,22.969,15.82,11.737,8.518,1.244,107.801
Type-W,52.45,5.247,0.487,0.117,41.556,1.827,0.0,70.557,23.002,793.601,0.928,fluid,54.213,17.454,22.64,5.969,12.163,1.006,98.771
Type-D,39.62,4.946,0.208,0.0,48.613,2.382,10.356,83.536,14.135,747.517,0.756,fluid,52.161,22.752,17.519,7.214,32.6,1.004,171.525
Type-C,34.219,5.37,1.043,0.092,43.731,13.01,0.0,74.349,10.573,873.398,1.137,fix,44.536,17.525,28.808,8.947,11.728,0.929,98.635
